name,times_eaten,rating
Spaghetti and Meatballs,,
Grilled Pepper Jack Sandwiches,,
Cajum Chicken and Pasta,,
Tuna Casserole,,
Tacos,,
Mac and Cheese,,
Greek Bowls,,
Chicken and Rice,,
Chicken Fajitas,,
Chicken Fried Rice,,
Caulifower Brocolli Cheese Soup and Chicken,,
Spicy Buffalo Chicken Wraps,,
Lemony Chicken Noodle Soup,,
Hamburgers,,
Sausage and Spinach Tortellini Soup,,
Blackened Pork Caesar Salad,,
Chicken Creole,,
Creamy Pesto Chicken,,
Simple Chicken Stew,,
Parmesan Pork Tenderloin,,
Four Cheese Stuffed Shells,,
Creamy Bow Tie Pasta and Chicken,,
Hamburger Stroganoff,,
Steak,,
Baked Potato Soup and Pork/Good Sausage,,
Chicken and Brocolli Casserole,,
Garlic Lovers Chicken,,
Lasagna,,
Parmesan Chicken,,
Quesadilla Casserole,,
Taquitos,,
White Chicken Chili,,
Google Something,,
Porkchops and Mac and Cheese,,
Air Fryer Pork Tenderloin,,
Chicken Spaghetti,,
Beef Stew,,
Bacon Wrapped Meatloaf,,
Chicken Fried Steak and Mashed Potatoes,,
Chicken Pot Pie,,
Air fryer Chicken Tenders,,
Creamy Tomato Basil Tortellini,,
Soup and Bread Bowls,,
